# container: cpu_percent = % de 1 core, ram_mb = cgroup. host: host_cpu_percent = % total, host_ram_mb = /proc/meminfo
# host specs: 8 CPUs, 19.3GB RAM | container limit: 4.0 CPUs, 16.0GB RAM
timestamp,epoch,cpu_percent,ram_mb,host_cpu_percent,host_ram_mb
2026-06-21T22:55:58.800722,0,173.03,92.0,0.0,10111.2
2026-06-21T22:55:59.802257,0,171.38,158.2,69.3,10182.3
2026-06-21T22:56:00.803746,0,46.59,183.7,40.5,10212.7
2026-06-21T22:56:01.805219,0,12.19,188.5,34.1,10201.4
2026-06-21T22:56:02.806613,0,6.2,191.5,31.2,10211.6
2026-06-21T22:56:03.808022,0,3.81,192.9,23.5,10178.8
2026-06-21T22:56:04.809326,0,1.78,194.5,30.9,10153.3
2026-06-21T22:56:05.810953,0,22.31,242.9,24.5,10189.4
2026-06-21T22:56:06.812223,1,99.67,786.9,34.1,10709.4
2026-06-21T22:56:07.813619,1,177.85,809.5,51.5,10743.9
2026-06-21T22:56:08.815172,1,187.93,812.3,55.4,10750.0
2026-06-21T22:56:09.815989,1,180.09,813.1,59.0,10746.4
2026-06-21T22:56:10.817510,1,158.71,814.9,71.1,10769.6
2026-06-21T22:56:11.818000,1,136.49,857.1,63.6,10814.9
2026-06-21T22:56:12.819428,2,156.98,858.3,74.0,10807.4
2026-06-21T22:56:13.821054,2,173.37,858.8,61.2,10813.1
2026-06-21T22:56:14.822466,2,186.48,859.5,56.4,10811.2
2026-06-21T22:56:15.823991,2,181.84,860.2,56.8,10808.4
2026-06-21T22:56:16.825610,2,140.07,873.0,42.3,10824.4
2026-06-21T22:56:17.826278,2,103.52,29.8,43.3,9972.9
